Ntacode,Ntaname,Food Insecurity Rate_2018,Food Insecurity Rate_2018_rank,Adj Weighted Score,December 2020 unemployment rate 2018,December 2020 unemployment rate_2018_rank,NP Rank 2018,Supply gap above City average (pounds) 2018,Supply gap above City average (pounds)_2018_rank,Vulnerable populations %,Vulnerable populations %_rank
BK64,Prospect Heights,10.88%,128,6.16,6.59%,170,155,"-60,348",130,27.60%,180
BK68,Fort Greene,17.27%,51,6.78,10.59%,98,91,"325,795",89,30.74%,170
BK69,Clinton Hill,12.38%,103,6.30,8.57%,137,149,"-99,229",135,30.13%,172
BK72,Williamsburg,23.65%,14,7.53,7.73%,159,33,"1,279,389",9,57.02%,3
BK73,North Side-South Side,12.80%,99,6.34,7.75%,157,143,"-5,544",125,26.01%,182
BK75,Bedford,19.58%,35,8.04,13.20%,56,14,"1,189,166",14,38.82%,102
BK76,Greenpoint,11.80%,110,6.49,6.62%,169,132,"380,126",79,21.95%,187
BK77,Bushwick North,16.70%,59,7.48,14.05%,46,37,"406,301",75,35.41%,145
BK78,Bushwick South,18.39%,44,6.06,15.34%,31,161,"-1,716,617",179,36.55%,136
BK79,Ocean Hill,18.01%,47,5.18,13.95%,49,180,"-2,537,337",188,39.96%,90
BK81,Brownsville,30.71%,2,7.86,24.05%,1,21,"-214,681",141,47.57%,14
BK82,East New York,19.23%,38,6.10,15.08%,34,159,"-1,723,166",180,39.53%,95
BK83,Cypress Hills-City Line,13.16%,96,6.03,12.17%,72,164,"-954,448",170,36.47%,137
BK85,East New York (Pennsylvania Ave),22.08%,25,7.64,20.62%,5,28,"27,911",123,40.81%,72
BK88,Borough Park,18.64%,42,7.29,8.27%,147,46,"853,031",33,53.44%,5
BK90,East Williamsburg,15.76%,67,7.13,10.08%,104,56,"538,140",61,28.26%,178
BK91,East Flatbush-Farragut,12.19%,105,6.71,11.55%,76,103,"-355,999",151,43.04%,44
BK93,Starrett City,23.53%,16,7.13,13.42%,55,55,"165,599",113,48.26%,11
BK95,Erasmus,14.22%,86,6.50,12.18%,71,129,"-267,850",145,42.78%,47
BK96,Rugby-Remsen Village,14.54%,84,5.80,13.51%,54,173,"-1,487,583",177,41.23%,68
BX01,Claremont-Bathgate,29.13%,3,7.65,22.06%,3,27,"-184,763",137,44.85%,29
BX03,Eastchester-Edenwald-Baychester,14.91%,78,7.02,13.98%,48,68,"-76,734",133,35.74%,143
BX05,Bedford Park-Fordham North,21.56%,29,8.71,18.88%,8,2,"1,574,697",2,43.88%,35
BX06,Belmont,25.56%,9,7.14,18.80%,9,52,"-144,489",136,38.46%,110
BX07,Bronxdale,21.12%,31,8.08,16.56%,21,12,"1,326,116",5,37.59%,123
BX08,West Farms-Bronx River,21.61%,28,7.94,16.07%,25,17,"1,213,337",13,39.18%,98
BX09,Soundview-Castle Hill-Clason Point-Harding Park,18.92%,40,8.24,16.17%,24,8,"1,215,014",11,40.71%,74
BX10,Pelham Bay-Country Club-City Island,10.60%,133,6.76,8.11%,150,92,"569,831",57,38.00%,118
BX13,Co-op City,14.20%,87,7.56,12.97%,60,32,"1,051,311",23,41.83%,59
BX14,East Concourse-Concourse Village,22.13%,23,7.11,16.23%,23,62,"-238,469",143,45.28%,28
BX17,East Tremont,26.86%,5,8.84,22.55%,2,1,"1,302,596",7,43.94%,34
BX22,North Riverdale-Fieldston-Riverdale,11.18%,123,6.80,7.98%,155,88,"619,144",49,44.03%,33
BX26,Highbridge,23.33%,18,7.82,16.74%,19,23,"549,320",60,45.93%,22
BX27,Hunts Point,23.66%,13,6.22,14.85%,39,153,"-1,256,756",176,44.57%,30
BX28,Van Cortlandt Village,17.82%,49,8.16,15.80%,28,10,"1,164,240",18,38.57%,108
BX29,Spuyten Duyvil-Kingsbridge,12.04%,106,6.79,8.31%,144,89,"552,846",59,43.85%,36
BX30,Kingsbridge Heights,18.56%,43,7.52,16.84%,17,35,"442,561",70,44.52%,31
BX31,Allerton-Pelham Gardens,10.37%,139,7.12,11.25%,79,58,"379,246",80,42.09%,53
BX33,Longwood,23.65%,15,6.47,16.63%,20,134,"-1,128,771",174,46.39%,20
BX34,Melrose South-Mott Haven North,24.35%,12,5.81,17.51%,13,172,"-2,219,294",186,46.93%,18
BX35,Morrisania-Melrose,23.10%,20,5.28,16.34%,22,179,"-2,701,861",189,39.00%,100
BX36,University Heights-Morris Heights,25.31%,10,8.69,17.10%,14,3,"1,592,759",1,42.25%,52
BX37,Van Nest-Morris Park-Westchester Square,17.06%,53,6.96,14.94%,38,70,"58,177",121,40.16%,85
BX39,Mott Haven-Port Morris,26.14%,6,7.11,17.76%,11,60,"-593,701",158,46.52%,19
BX40,Fordham South,27.77%,4,8.17,20.21%,6,9,"1,024,787",27,43.48%,41
BX41,Mount Hope,21.89%,26,7.83,16.78%,18,22,"798,941",37,41.49%,62
BX43,Norwood,22.54%,22,7.71,17.09%,15,24,"564,050",58,47.27%,16
BX44,Williamsbridge-Olinville,19.41%,36,6.94,17.55%,12,71,"-733,970",163,39.32%,96
BX46,Parkchester,15.90%,65,7.34,14.13%,45,44,"663,690",45,35.24%,147
BX49,Pelham Parkway,15.50%,70,7.14,13.84%,50,53,"421,937",73,38.26%,114
BX52,Schuylerville-Throgs Neck-Edgewater Park,11.96%,109,7.40,11.24%,80,41,"1,041,135",25,37.80%,121
BX55,Soundview-Bruckner,22.11%,24,8.35,18.19%,10,6,"1,214,049",12,41.42%,65
BX59,Westchester-Unionport,17.00%,54,7.23,16.90%,16,48,"195,880",111,38.43%,112
BX62,Woodlawn-Wakefield,13.59%,92,6.05,12.30%,68,162,"-916,581",169,38.11%,116
BX63,West Concourse,21.71%,27,7.09,15.41%,30,63,"39,248",122,42.07%,54
BX75,Crotona Park East,23.34%,17,7.17,15.84%,27,50,"-59,648",129,40.19%,84
